0,Actor ID/SRN,Role,Country,Actor/Organisation name,VAT number,EORI,National trade register,Street name,Street number,Address line 2,PO box,City,Postal Code,Country,Email,Phone number,Website
70,RO-MF-000025706,Manufacturer,Romania,Farma Class Industry SRL,RO22663519,RO22663519,J40/20435/2007,Minca Dumitru,2-4,"2-4 Minca Dumitru street, 4 district, Bucharest, Romania, 041407",,Bucharest,041407,Romania,simona.voicu@farmaclass.ro,,
71,CN-MF-000025908,Manufacturer,China,"Shanghai Yescomed Enterprise Co., ltd.",,,91310109772881223X,"Room 1412, North Fude Business Center,No.1688 North Sichuan Road",,,,Shanghai,200080,China,Medical@yescomed.com,,
72,CN-MF-000025968,Manufacturer,China,"Hunan Dymind Biotechnology Co., Ltd.",,,,Kangping Road,,,,Changsha,410300,China,Eudamedaccount_hunan@dymind.com,,
73,SE-MF-000025764,Manufacturer,Sweden,Adaptis Spektra AB,SE559346854801,SE5593468548,5593468548,Stationsvägen ,6,,,Örbyhus,748 41,Sweden,kontakt@butikspektra.se,+46729743860,www.butikspektra.se
74,IL-MF-000000745,Manufacturer,Israel,Align Technology Ltd.,,,,1 Yitzak Rabin Rd.,312,312,,Petach Tikva,4925110,Israel,Quality-legal-EMEA@aligntech.com,,www.aligntech.com
75,DE-MF-000006994,Manufacturer,Germany,Lawton GmbH & Co.KG,DE 142932883,,HRA 450685,Württemberger Str. ,23,,,Fridingen,78567,Germany,info@lawton.de,+49 7463 9965-0,www.lawton.de
76,CN-MF-000025969,Manufacturer,China,Health Sun LTD,,,,"ShaYuKou Village,QiaoZi Town, HuaiRou District",No.110A,,,Beijing,101402,China,yuchun_china@163.com,+86(010)60635081/5091,
77,DE-MF-000010763,Manufacturer,Germany,Fiagon GmbH,DE256937496,DE850955433578078,HRB 9665 Amtsgericht Neuruppin,Neuendorfstr.,23b,,,Hennigsdorf,16761,Germany,info@fiagon.com,+49 3302 201 21 10,www.fiagon.de
78,IT-MF-000009938,Manufacturer,Italy,EF Medica Srl,02330930211,IT02330930211,BZ-171285,Via Pillhof,25,,,Frangarto/Appiano,39057,Italy,info@efmedica.com,+390471813468,www.efmedica.com
79,NL-MF-000002065,Manufacturer,Netherlands,IMDS,NL823135184B01,,,Ceintuurbaan Noord ,150,,,Roden,9301 NZ ,Netherlands,regulatory@imds.nl,+31 (0)50 8200230,https://imds.nl/
80,NL-MF-000002065,Manufacturer,Netherlands,IMDS,NL823135184B01,,,Ceintuurbaan Noord ,150,,,Roden,9301 NZ ,Netherlands,regulatory@imds.nl,+31 (0)50 8200230,https://imds.nl/
81,DE-MF-000005446,Manufacturer,Germany,Berchtold GmbH & Co. KG,DE 142932906,,,Ludwigstaler Strasse,25,,78532,Tuttlingen,78532,Germany,EndoEO@stryker.com,,
82,FR-MF-000001184,Manufacturer,France,LAPE Médical,FR91530227214,FR53022721400018,530227214,rue du Martinet,7,,,SCIONZIER,74950,France,contact@lape.fr,+33450899584,www.lape.fr
83,DE-MF-000005141,Manufacturer,Germany,WZAT Westdeutsches Zentrum für angewandte Telemedizin GmbH,,,,Kennedydamm,24,,,Düsseldorf,40476,Germany,info@wzat.de,+4921141668277,www.wzat.de
84,DE-MF-000008580,Manufacturer,Germany,P+F Products and Features GmbH,DE302047147,DE931147747850560,,Argelsrieder Feld,1a,,,Weßling,82234,Germany,pparsian@productsandfeatures.com,+436604358796,www.productsandfeatures.com
85,DE-MF-000008316,Manufacturer,Germany,curasan AG,DE132078631,DE3952312,HRB4436,Ernst-Wiss-Straße,18,,,Frankfurt,65933,Germany,saad.ahmad@curasan.com,+49602740900-46,www.curasan.de
86,CN-MF-000025966,Manufacturer,China,"Yunnan Xiongkang Medical Technology Co., Ltd.",,,,"International Trade City, Luoyang Sub-district Office","No. 101 and 601, Building L8",Economic and Technological Development Zone,,Kunming,650217,China,362720992@qq.com,+86-13708491670,
87,DE-MF-000025829,Manufacturer,Germany,Adversis Pharma GmbH,231/105/17572,,HRB 34615,Deutscher Platz,5,,,Leipzig,04103,Germany,s.rau@genolytic.de,+49 341-1495916,https://www.adversis-pharma.de/
88,DE-MF-000008604,Manufacturer,Germany,Wowi Medical GmbH,DE325214081,,,Alfred-Paulsen-Str.,8,,,Otterndorf,21672,Germany,info@wowi-medical.de,,
89,DE-MF-000008601,Manufacturer,Germany,VOCO GmbH,DE115170082,,,Anton-Flettner-Str.,1-3,,,Cuxhaven,27472,Germany,info@voco.de,,www.voco.de
90,DE-MF-000008855,Manufacturer,Germany,SMP Scientific Medical Products GmbH,DE316434876,,,Alfred-Paulsen-Str.,8,,,Otterndorf,21762,Germany,info@scientificmp.de,,
91,DE-MF-000008684,Manufacturer,Germany,Nordema GmbH,DE320851514,,,Grasweg,18-22,,,Geestland,27607,Germany,info@nordema-dental.de,,
92,DE-MF-000008688,Manufacturer,Germany,Identa Dental Material GmbH,DE115171147,,,Anton-Flettner-Str.,1,,,Cuxhaven,27472,Germany,info@identadental.de,,
93,DE-MF-000005407,Manufacturer,Germany,CB Dental Reg. GmbH,DE327088968,,HRB 34722 HB,Stresemannstrasse,46,,,Bremerhaven,27570,Germany,info@cb-reg.de,+49 (0) 471 140 370,
94,DE-MF-000008143,Manufacturer,Germany,Promedica Dental Material GmbH,DE134892724,,,Domagkstr.,31,,,Neumuenster,24537,Germany,info@promedica.de,,
95,NO-MF-000025641,Manufacturer,Norway,DoMore Diagnostics AS,925 769 681,,,Ullernschausseen,65,,,Oslo,0379,Norway,elisabeth.klaussen@domorediagnostics.com,+47 90960139,domorediagnostics.com
96,DE-MF-000005061,Manufacturer,Germany,Otto Bock Mobility Solutions GmbH,DE2624838533,DE000000007184719,HRB503178,Lindenstraße 13,13,,,Königsee,07426,Germany,mobility.prrc@ottobock.com,,
97,RO-MF-000025648,Manufacturer,Romania,Optimax Vision SRL,26152657,,J40/13202/2019,Porumbacu,15,"sector 6, Bloc 87, scara 2, etaj 1, ap. 61",,Bucuresti,60363,Romania,usureluadrian@yahoo.com,+40765492785,
98,BE-MF-000000690,Manufacturer,Belgium,Barco NV,BE 0473191041,,,President Kennedypark,35,,,Kortrijk,8500,Belgium,eric.caus@barco.com,+3256233349,https://www.barco.com/en/
99,KR-MF-000025941,Manufacturer,Republic of Korea,"BMA Co., Ltd.",,,2068687287,"601, Venture Center Ⅱ, 194-41, Osongsaengmyeong 1-ro",,"Osong-eup, Heungdeok-gu",,"Cheonju-si, Chungcheongbuk-do",28160,Republic of Korea,jklee@bmacure.com,+82 10 4752 3296,http://www.bmacure.com/
100,FR-MF-000013872,Manufacturer,France,Air Liquide Réunion,,FR31086559700077,RC Saint Denis  72 B 97  31086559700077,Rue Charles Darwin ,8,ZAC 2000,CS 51 005,LE PORT CEDEX,97829,France,realre-pharma@airliquide.com,,
101,CN-MF-000025689,Manufacturer,China,"Shenzhen Lefu Technology Co., Ltd.",,,,"2nd Floor, Building C, Jianyetai Industrial Zone,No.11 Minhuan Road, Fukang Community, Longhua Street",," Longhua District,518109 Shenzhen,PEOPLE'S REPUBLIC OF CHINA",518109,Shenzhen,518109,China,szlefu@126.com,+86(755)26430403,https://www.sz-lefu.com
102,IL-MF-000010009,Manufacturer,Israel,Degania Silicone LTD,558174595,511376154,511376154,Kibbutz ,Degania Bet,,1513000,Degania Bet,1513000 ,Israel,isimantov@qmd.net,,
103,CN-MF-000025928,Manufacturer,China,"Shaoxing Carere Medical Appliance Co., Ltd.",,,91330600307651609U,"Pingxing Road, Loujia Village, Pingshui Town, Keqiao District",,,,"Shaoxing City, Zhejiang",312050,China,info@crrmedical.com,,
104,US-MF-000003006,Manufacturer,United States,Xeridiem Medical Devices (A Spectrum Plastics Group Company),,,,S. Overland Drive,4700,,,"Tucson, AZ",85714,United States,steven.murray@spectrumplastics.com,+1 520 882 7794,www.spectrumplastics.com
105,US-MF-000023916,Manufacturer,United States,Roga Life Inc.,,,,East Holly Avenue,1730,"Suite #819, El Segundo, CA, 90245, US",,El Segundo,90245,United States,info@rogalife.com,,https://www.rogalife.com
106,DE-MF-000006260,Manufacturer,Germany,Roche Diagnostics GmbH,DE143840627,DE 2002701,HRB 3962,Sandhofer Str. ,116 ,,,Mannheim ,68305,Germany,global.cps-regulatory-affairs@roche.com,,www.roche.com
107,CH-MF-000009927,Manufacturer,Switzerland,CASCINATION AG,CHE-115.010.410 MWST,DE876 324 050 416 494,CHE-115.010.410,Steigerhubelstrasse,3,,,Bern,3008,Switzerland,info@cascination.com,+41 31 552 0440 ,www.cascination.com
108,DE-MF-000008316,Manufacturer,Germany,curasan AG,DE132078631,DE3952312,HRB4436,Haeberlinstrasse,11,,,Frankfurt am Main,60431,Germany,saadahmad14@gmail.com,01728792953,www.curasan.de
109,SE-MF-000025703,Manufacturer,Sweden,Perimed Aktiebolag,SE556196690301,,,Datavägen,9A,,,Jarfalla,175 43,Sweden,mail@perimed-instruments.com,+46 8 580 119 90,https://www.perimed-instruments.com/
110,CN-MF-000025932,Manufacturer,China,"Danyang Small Warcraft Supply Chain Management Co., Ltd",,,91321181MA25XL4404,"No. 8, Jinling West Road, Development Zone",,,,"Danyang City, Jiangsu Province",212310,China,wangtao@nextmar.com,,
111,JP-MF-000025176,Manufacturer,Japan,"Ziosoft, Inc.",,,,"MitaKokusai Bldg., 1-4-28 Mita",,,,"Minato-ku, Tokyo",108-0073,Japan,EU_pms@zio.co.jp,,
112,IL-MF-000017055,Manufacturer,Israel,Biosense Webster (Israel) Ltd.,,,,Hatnufa Street,4,,,Yokneam,2066717,Israel,EUDAMED_Enquiries@its.jnj.com,,
113,DE-MF-000006426,Manufacturer,Germany,Ovesco Endoscopy AG,DE217051960,DE7388152,District court Stuttgart HRB 727461,Friedrich-Miescher-Strasse,9,,,Tuebingen,72076,Germany,regulatory-affairs@ovesco.com,+49707196528160,www.ovesco.com
114,RO-MF-000025686,Manufacturer,Romania,SC LENS CRIS PROD SRL,RO6799102,RO6799102,J12/4133/1994,ION ANDREESCU,11,,,CLUJ-NAPOCA,400306,Romania,office.av@lenscris.ro,,
115,RS-MF-000025992,Manufacturer,Serbia ,DRUŠTVO ZA TRGOVINU I USLUGE PROMEDIA DOO KIKINDA,,,100579471,Put za pristanište,140,,,Kikinda,23300,Serbia ,ivana.stojkovic@promedia.rs,,www.proready.rs
116,ES-MF-000025835,Manufacturer,Spain,Comercial Barma Maresme S.L.,ESB05352059,,,Calle Romero Torres,20,,,Pineda de Mar,08397,Spain,garmedicalmaresme@gmail.com,,
117,JP-MF-000008990,Manufacturer,Japan,"Machida Endoscope Co., Ltd.",,,,Abiko,1-15-12,,,Abiko-shi,270-1166,Japan,hinshobu-m@machida-eds.co.jp,,http://www.machida-eds.co.jp/index_e.html
118,DE-MF-000009538,Manufacturer,Germany,Bio3 Implants GmbH,DE 295433974,DE 872726342538825,HBR 748932,Hanauer Str,8,,,Pforzheim,75181,Germany,alla.prokosheva@bio3-implants.com,+4915730269595,https://bio3-implants.com
119,DE-MF-000009538,Manufacturer,Germany,Bio3 Implants GmbH,DE 295433974,DE 872726342538825,HBR 748932,Hanauer Str,8,,,Pforzheim,75181,Germany,alla.prokosheva@bio3-implants.com,+4915730269595,https://bio3-implants.com
120,CH-MF-000014141,Manufacturer,Switzerland,Bayer Consumer Care AG,CHE-107.359.454,,CHE-107.359.454,Peter Merian-Strasse,84,,,Basel,4052,Switzerland,info@bayer.ch,,
121,KR-MF-000025694,Manufacturer,Republic of Korea,"Plexense, Inc.",3148633762,,,"Dongbaekjungang-ro 16-gil, Giheung-gu, Yongin-si",16-4,"#1-1301,1302,1303",,Gyeonggi-do,17015,Republic of Korea,minkim@plexense.com,,www.plexense.com
122,CN-MF-000025940,Manufacturer,China,"Jiangsu Sunlant Bioengineering Co., Ltd.",,,91320214661346893C," Changjiang South Road,Xinwu District",No.35-305,,,Wuxi City ,214142,China,yanfajsb@sunlant.com,+86-18012481465,
123,US-MF-000025089,Manufacturer,United States,Tisgenx Inc.,,,,Alton Parkway,15615,Suite 450,,Irvine,92618,United States,info@tisgenx.com,9496700403,https://tisgenx.com/
124,IE-MF-000022484,Manufacturer,Ireland,Vetex Medical Ltd.,IE3404176TH,No EORI number,576620,Business Innovation Centre,,"NUI, Galway, Ireland",,Galway,H91 NY52,Ireland,bmccormack@surmodics.com,+353 91 394795,https://vetexmedical.com/
125,US-MF-000001169,Manufacturer,United States,Biomet Microfixation,,,,Tradeport Drive,1520,,,Jacksonville,32218,United States,FXJAX-ORDERS@ZIMMERBIOMET.COM,+1 904 741 4400,https://labeling.zimmerbiomet.com/ 
